step,E_NQS
3.210000000000000000e+02,5.614354994760745967e+02
3.240000000000000000e+02,5.614348546086431497e+02
3.270000000000000000e+02,5.614342175269916879e+02
3.300000000000000000e+02,5.614335881398026231e+02
3.330000000000000000e+02,5.614329663789643519e+02
3.360000000000000000e+02,5.614323521527114735e+02
3.390000000000000000e+02,5.614317453973972079e+02
3.420000000000000000e+02,5.614311460331686021e+02
3.450000000000000000e+02,5.614305539667785752e+02
3.480000000000000000e+02,5.614299691081134824e+02
3.510000000000000000e+02,5.614293913847354816e+02
3.540000000000000000e+02,5.614288207861693536e+02
3.570000000000000000e+02,5.614282571714173855e+02
3.600000000000000000e+02,5.614277004908134359e+02
3.630000000000000000e+02,5.614271506861859962e+02
3.660000000000000000e+02,5.614266076897387165e+02
3.690000000000000000e+02,5.614260714020576870e+02
3.720000000000000000e+02,5.614255417694714652e+02
3.750000000000000000e+02,5.614250187508947647e+02
3.780000000000000000e+02,5.614245023074150822e+02
3.810000000000000000e+02,5.614239924037731271e+02
3.840000000000000000e+02,5.614234890230408155e+02
3.870000000000000000e+02,5.614229922243753208e+02
3.900000000000000000e+02,5.614225020972359061e+02
3.930000000000000000e+02,5.614220194034739961e+02
3.960000000000000000e+02,5.614215452352424336e+02
3.990000000000000000e+02,5.614210817448553144e+02
4.020000000000000000e+02,5.614206309797630183e+02
4.050000000000000000e+02,5.614201895945375327e+02
4.080000000000000000e+02,5.614197403315740758e+02
4.110000000000000000e+02,5.614192732808662640e+02
4.140000000000000000e+02,5.614188123933031420e+02
4.170000000000000000e+02,5.614183691491766695e+02
4.200000000000000000e+02,5.614179466066802888e+02
4.230000000000000000e+02,5.614175126781060499e+02
4.260000000000000000e+02,5.614170893869443262e+02
4.290000000000000000e+02,5.614166844627993669e+02
4.320000000000000000e+02,5.614162962056218475e+02
4.350000000000000000e+02,5.614159208036028303e+02
4.380000000000000000e+02,5.614155362634079438e+02
4.410000000000000000e+02,5.614151158543512565e+02
4.440000000000000000e+02,5.614146952597483278e+02
4.470000000000000000e+02,5.614143484957446617e+02
4.500000000000000000e+02,5.614139587669632192e+02
4.530000000000000000e+02,5.614136079824199896e+02
4.560000000000000000e+02,5.614132187233407194e+02
4.590000000000000000e+02,5.614128378113623512e+02
4.620000000000000000e+02,5.614125045126839950e+02
4.650000000000000000e+02,5.614121480525451489e+02
4.680000000000000000e+02,5.614117753882763964e+02
4.710000000000000000e+02,5.614114136695585557e+02
4.740000000000000000e+02,5.614110815751979544e+02
4.770000000000000000e+02,5.614107511045209549e+02
4.800000000000000000e+02,5.614104118216157531e+02
4.830000000000000000e+02,5.614101032757591838e+02
4.860000000000000000e+02,5.614098053584048102e+02
4.890000000000000000e+02,5.614094763273277522e+02
4.920000000000000000e+02,5.614091593000341618e+02
4.950000000000000000e+02,5.614088625138967927e+02
4.980000000000000000e+02,5.614085492532831267e+02
5.010000000000000000e+02,5.614082434986495400e+02
5.040000000000000000e+02,5.614079562552867628e+02
5.070000000000000000e+02,5.614076632141858454e+02
5.100000000000000000e+02,5.614073750558121674e+02
5.130000000000000000e+02,5.614070989898215203e+02
5.160000000000000000e+02,5.614068041000906533e+02
5.190000000000000000e+02,5.614065403150849534e+02
5.220000000000000000e+02,5.614062554127126532e+02
5.250000000000000000e+02,5.614059777209621416e+02
5.280000000000000000e+02,5.614057147809893422e+02
5.310000000000000000e+02,5.614054705172943613e+02
5.340000000000000000e+02,5.614052381430108198e+02
5.370000000000000000e+02,5.614049664557699089e+02
5.400000000000000000e+02,5.614047266882317899e+02
5.430000000000000000e+02,5.614044511498115071e+02
5.460000000000000000e+02,5.614042661924628419e+02
5.490000000000000000e+02,5.614039839407191721e+02
5.520000000000000000e+02,5.614037391685644707e+02
5.550000000000000000e+02,5.614035176661388959e+02
5.580000000000000000e+02,5.614032934204682306e+02
5.610000000000000000e+02,5.614030497005355755e+02
5.640000000000000000e+02,5.614028836831586204e+02
5.670000000000000000e+02,5.614026595003095963e+02
5.700000000000000000e+02,5.614024144689290097e+02
5.730000000000000000e+02,5.614021819922792247e+02
5.760000000000000000e+02,5.614019846467017487e+02
5.790000000000000000e+02,5.614017833978883800e+02
5.820000000000000000e+02,5.614016070912690566e+02
5.850000000000000000e+02,5.614015111484667386e+02
5.880000000000000000e+02,5.614012946848463343e+02
5.910000000000000000e+02,5.614010514248218442e+02
5.940000000000000000e+02,5.614008566131915359e+02
5.970000000000000000e+02,5.614006500446744212e+02
6.000000000000000000e+02,5.614004621976324643e+02
6.030000000000000000e+02,5.614002757218373745e+02
6.060000000000000000e+02,5.614000636766564867e+02
6.090000000000000000e+02,5.613998883066308281e+02
6.120000000000000000e+02,5.613997152223864759e+02
6.150000000000000000e+02,5.613995735921057531e+02
6.180000000000000000e+02,5.613994252988380822e+02
6.210000000000000000e+02,5.613992712704485939e+02
6.240000000000000000e+02,5.613990333789856777e+02
6.270000000000000000e+02,5.613988859499149839e+02
6.300000000000000000e+02,5.613987187930930531e+02
6.330000000000000000e+02,5.613985522648509914e+02
6.360000000000000000e+02,5.613983594392068426e+02
6.390000000000000000e+02,5.613982255701287158e+02
6.420000000000000000e+02,5.613980957856769010e+02
6.450000000000000000e+02,5.613979818195060716e+02
6.480000000000000000e+02,5.613978352676630266e+02
6.510000000000000000e+02,5.613977229922678589e+02
